title	authors	venue	year	pdf_url	code_url	video_url
Graph Regularized Encoder Training for Extreme Classification	A. Mittal, S. Mohan, D. Saini, S. Asokan, S.C. Prabhu, L. Kumar, P. Malhotra, J. Jiao, A. Singh, S. Agarwal, S. Chakrabarti, P. Kar, M. Varma	WWW	2025	https://doi.org/10.1145/3701716.3715230		
MOGIC: Metadata-infused Oracle Guidance for Improved Extreme Classification	S.C. Prabhu, B. Singh, A. Mittal, S. Asokan, S. Mohan, D. Saini, Y. Prabhu, L. Kumar, J. Jiao, A. Singh, N. Tandon, M. Gupta, S. Agarwal, M. Varma	ICML	2025	https://openreview.net/forum?id=uxA0GI240s		
NGAME: Negative Mining-aware Mini-batching for Extreme Classification	K. Dahiya, N. Gupta, D. Saini, A. Soni, Y. Wang, K. Dave, J. Jiao, Gururaj K., P. Dey, A. Singh, D. Hada, V. Jain, B. Paliwal, A. Mittal, S. Mehta, R. Ramjee, S. Agarwal, P. Kar, M. Varma	WSDM	2023		https://github.com/Extreme-classification/ngame	
EHI: End-to-end Learning of Hierarchical Index for Efficient Dense Retrieval	R. Kumar, A. Mittal, N. Gupta, A. Kusupati, I. Dhillon, P. Jain	arXiv	2024	https://arxiv.org/abs/2310.08891		
Multi-Modal Extreme Classification	A. Mittal, K. Dahiya, S. Malani, J. Ramaswamy, S. Kuruvilla, J. Ajmera, K.H. Chang, S. Agarwal, P. Kar, M. Varma	CVPR	2022	http://manikvarma.org/pubs/mittal22.pdf	https://github.com/Extreme-classification/MUFIN	
ECLARE: Extreme Classification with Label Graph Correlations	A. Mittal, N. Sachdeva, S. Agrawal, S. Agarwal, P. Kar, M. Varma	WWW	2021	http://manikvarma.org/pubs/mittal21b.pdf	https://github.com/Extreme-classification/ECLARE	
DECAF: Deep Extreme Classification with Label Features	A. Mittal, K. Dahiya, S. Agrawal, D. Saini, S. Agarwal, P. Kar, M. Varma	WSDM	2021	http://manikvarma.org/pubs/mittal21-main.pdf	https://github.com/Extreme-classification/DECAF	https://vimeo.com/518922908
DeepXML: A Deep Extreme Multi-Label Learning Framework Applied to Short Text Documents	K. Dahiya, D. Saini, A. Mittal, A. Shaw, K. Dave, A. Soni, H. Jain, S. Agarwal, M. Varma	WSDM	2021	http://manikvarma.org/pubs/dahiya21-main.pdf	https://github.com/Extreme-classification/deepxml	
A Modified LSTM Model for Continuous Sign Language Recognition Using Leap Motion	A. Mittal, P. Kumar, P.P. Roy, B. Raman, B.B. Chaudhuri	IEEE Sensors Journal	2019	https://ieeexplore.ieee.org/document/8684245		
Data Extraction from Traffic Videos Using Machine Learning Approach	A. Mittal, M. Gupta, I. Ghosh	SocProS	2018	https://link.springer.com/chapter/10.1007/978-981-13-1592-3_16		
The Extreme Classification Repository: Multi-label Datasets and Code	K. Bhatia, K. Dahiya, H. Jain, P. Kar, A. Mittal, Y. Prabhu, M. Varma	Technical Report	2017	http://manikvarma.org/downloads/XC/XMLRepository.html		
Rotation and Script Independent Text Detection from Video Frames Using Sub Pixel Mapping	A. Mittal, P.P. Roy, P. Singh, B. Raman	JVCIR	2017	https://www.sciencedirect.com/science/article/pii/S1047320317300652		
